(06/28/2025 03:54:42PM) Core:3 "[(06/28/2025 03:54:42PM)] Core 3 | PID 2682 | DECLARE: var0 = 17"
(06/28/2025 03:54:42PM) Core:3 "[(06/28/2025 03:54:42PM)] Core 3 | PID 2682 | DECLARE: var1 = 48"
(06/28/2025 03:54:42PM) Core:3 "[(06/28/2025 03:54:42PM)] Core 3 | PID 2682 | DECLARE: var2 = 6"
(06/28/2025 03:54:42PM) Core:3 "[(06/28/2025 03:54:42PM)] Core 3 | PID 2682 | DECLARE: var3 = 72"
(06/28/2025 03:54:43PM) Core:3 "[(06/28/2025 03:54:43PM)] Core 3 | PID 2682 | DECLARE: var4 = 46"
(06/28/2025 03:54:43PM) Core:3 "[(06/28/2025 03:54:43PM)] Core 3 | PID 2682 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:54:43PM) Core:3 "[(06/28/2025 03:54:43PM)] Core 3 | PID 2682 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:54:43PM) Core:3 "[(06/28/2025 03:54:43PM)] Core 3 | PID 2682 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:54:43PM) Core:3 "[(06/28/2025 03:54:43PM)] Core 3 | PID 2682 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:54:43PM) Core:3 "[(06/28/2025 03:54:43PM)] Core 3 | PID 2682 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:54:43PM) Core:3 "[(06/28/2025 03:54:43PM)] Core 3 | PID 2682 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:54:43PM) Core:3 "[(06/28/2025 03:54:43PM)] Core 3 | PID 2682 | PRINT: "Loop iteration 1 (outer 3)""
(06/28/2025 03:54:43PM) Core:3 "[(06/28/2025 03:54:43PM)] Core 3 | PID 2682 | PRINT: "Loop iteration 2 (outer 3)""
(06/28/2025 03:54:43PM) Core:3 "[(06/28/2025 03:54:43PM)] Core 3 | PID 2682 | PRINT: "Loop iteration 3 (outer 3)""
(06/28/2025 03:54:43PM) Core:3 "[(06/28/2025 03:54:43PM)] Core 3 | PID 2682 | DECLARE: var1 = 38"
(06/28/2025 03:54:43PM) Core:3 "[(06/28/2025 03:54:43PM)] Core 3 | PID 2682 | PRINT: "Hello from process_1683 [instruction 2]""
(06/28/2025 03:54:43PM) Core:3 "[(06/28/2025 03:54:43PM)] Core 3 | PID 2682 | SUBTRACT: 72 - 46 = 26"
(06/28/2025 03:54:43PM) Core:3 "[(06/28/2025 03:54:43PM)] Core 3 | PID 2682 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:54:43PM) Core:3 "[(06/28/2025 03:54:43PM)] Core 3 | PID 2682 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:54:43PM) Core:3 "[(06/28/2025 03:54:43PM)] Core 3 | PID 2682 | PRINT: "Loop iteration 3 (outer 1)""
