(06/28/2025 03:52:25PM) Core:1 "[(06/28/2025 03:52:25PM)] Core 1 | PID 2546 | DECLARE: var0 = 89"
(06/28/2025 03:52:25PM) Core:1 "[(06/28/2025 03:52:25PM)] Core 1 | PID 2546 | DECLARE: var1 = 19"
(06/28/2025 03:52:25PM) Core:1 "[(06/28/2025 03:52:25PM)] Core 1 | PID 2546 | DECLARE: var2 = 77"
(06/28/2025 03:52:25PM) Core:1 "[(06/28/2025 03:52:25PM)] Core 1 | PID 2546 | DECLARE: var3 = 27"
(06/28/2025 03:52:25PM) Core:1 "[(06/28/2025 03:52:25PM)] Core 1 | PID 2546 | DECLARE: var4 = 22"
(06/28/2025 03:52:25PM) Core:1 "[(06/28/2025 03:52:25PM)] Core 1 | PID 2546 | PRINT: "Hello from process_1547 [instruction 0]""
(06/28/2025 03:52:25PM) Core:1 "[(06/28/2025 03:52:25PM)] Core 1 | PID 2546 | PRINT: "Hello from process_1547 [instruction 1]""
(06/28/2025 03:52:25PM) Core:1 "[(06/28/2025 03:52:25PM)] Core 1 | PID 2546 | PRINT: "Hello from process_1547 [instruction 2]""
(06/28/2025 03:52:25PM) Core:1 "[(06/28/2025 03:52:25PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:52:25PM) Core:1 "[(06/28/2025 03:52:25PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:52:25PM) Core:1 "[(06/28/2025 03:52:25PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:52:25PM) Core:1 "[(06/28/2025 03:52:25PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:52:25PM) Core:1 "[(06/28/2025 03:52:25PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:52:25PM) Core:1 "[(06/28/2025 03:52:25PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:52:25PM) Core:1 "[(06/28/2025 03:52:25PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 1 (outer 3)""
(06/28/2025 03:52:25PM) Core:1 "[(06/28/2025 03:52:25PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 2 (outer 3)""
(06/28/2025 03:52:25PM) Core:1 "[(06/28/2025 03:52:25PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 3 (outer 3)""
(06/28/2025 03:52:25PM) Core:1 "[(06/28/2025 03:52:25PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 1 (outer 4)""
(06/28/2025 03:52:25PM) Core:1 "[(06/28/2025 03:52:25PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 2 (outer 4)""
(06/28/2025 03:52:25PM) Core:1 "[(06/28/2025 03:52:25PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 3 (outer 4)""
(06/28/2025 03:52:25PM) Core:1 "[(06/28/2025 03:52:25PM)] Core 1 | PID 2546 | SUBTRACT: 22 - 89 = 0"
(06/28/2025 03:52:25PM) Core:1 "[(06/28/2025 03:52:25PM)] Core 1 | PID 2546 | ADD: 89 + 19 = 108"
(06/28/2025 03:52:25PM) Core:1 "[(06/28/2025 03:52:25PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 1 (outer 3)""
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 2 (outer 3)""
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 3 (outer 3)""
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 1 (outer 4)""
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 2 (outer 4)""
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 3 (outer 4)""
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | ADD: 77 + 27 = 104"
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 1 (outer 3)""
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 2 (outer 3)""
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 3 (outer 3)""
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | PRINT: "Hello from process_1547 [instruction 9]""
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | PRINT: "Hello from process_1547 [instruction 10]""
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | DECLARE: var11 = 1"
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | SUBTRACT: 27 - 22 = 5"
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | PRINT: "Hello from process_1547 [instruction 14]""
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | PRINT: "Hello from process_1547 [instruction 15]""
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | SUBTRACT: 19 - 77 = 0"
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | SUBTRACT: 77 - 27 = 50"
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | ADD: 27 + 22 = 49"
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | DECLARE: var19 = 52"
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | DECLARE: var20 = 63"
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | SLEEP: for 106ms"
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | SLEEP: for 102ms"
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | PRINT: "Hello from process_1547 [instruction 23]""
(06/28/2025 03:52:26PM) Core:1 "[(06/28/2025 03:52:26PM)] Core 1 | PID 2546 | SLEEP: for 114ms"
(06/28/2025 03:52:27PM) Core:1 "[(06/28/2025 03:52:27PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:52:27PM) Core:1 "[(06/28/2025 03:52:27PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:52:27PM) Core:1 "[(06/28/2025 03:52:27PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:52:27PM) Core:1 "[(06/28/2025 03:52:27PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:52:27PM) Core:1 "[(06/28/2025 03:52:27PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:52:27PM) Core:1 "[(06/28/2025 03:52:27PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:52:27PM) Core:1 "[(06/28/2025 03:52:27PM)] Core 1 | PID 2546 | ADD: 19 + 77 = 96"
(06/28/2025 03:52:27PM) Core:1 "[(06/28/2025 03:52:27PM)] Core 1 | PID 2546 | DECLARE: var27 = 75"
(06/28/2025 03:52:27PM) Core:1 "[(06/28/2025 03:52:27PM)] Core 1 | PID 2546 | PRINT: "Hello from process_1547 [instruction 28]""
(06/28/2025 03:52:27PM) Core:1 "[(06/28/2025 03:52:27PM)] Core 1 | PID 2546 | ADD: 22 + 89 = 111"
(06/28/2025 03:52:27PM) Core:1 "[(06/28/2025 03:52:27PM)] Core 1 | PID 2546 | DECLARE: var30 = 22"
(06/28/2025 03:52:27PM) Core:1 "[(06/28/2025 03:52:27PM)] Core 1 | PID 2546 | ADD: 19 + 77 = 96"
(06/28/2025 03:52:27PM) Core:1 "[(06/28/2025 03:52:27PM)] Core 1 | PID 2546 | DECLARE: var32 = 38"
(06/28/2025 03:52:27PM) Core:1 "[(06/28/2025 03:52:27PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:52:27PM) Core:1 "[(06/28/2025 03:52:27PM)] Core 1 | PID 2546 | PRINT: "Loop iteration 2 (outer 1)""
