(06/28/2025 03:47:53PM) Core:0 "[(06/28/2025 03:47:53PM)] Core 0 | PID 2277 | DECLARE: var0 = 22"
(06/28/2025 03:47:53PM) Core:0 "[(06/28/2025 03:47:53PM)] Core 0 | PID 2277 | DECLARE: var1 = 93"
(06/28/2025 03:47:53PM) Core:0 "[(06/28/2025 03:47:53PM)] Core 0 | PID 2277 | DECLARE: var2 = 36"
(06/28/2025 03:47:54PM) Core:0 "[(06/28/2025 03:47:54PM)] Core 0 | PID 2277 | DECLARE: var3 = 49"
(06/28/2025 03:47:54PM) Core:0 "[(06/28/2025 03:47:54PM)] Core 0 | PID 2277 | DECLARE: var4 = 61"
(06/28/2025 03:47:54PM) Core:0 "[(06/28/2025 03:47:54PM)] Core 0 | PID 2277 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:47:54PM) Core:0 "[(06/28/2025 03:47:54PM)] Core 0 | PID 2277 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:47:54PM) Core:0 "[(06/28/2025 03:47:54PM)] Core 0 | PID 2277 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:47:54PM) Core:0 "[(06/28/2025 03:47:54PM)] Core 0 | PID 2277 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:47:54PM) Core:0 "[(06/28/2025 03:47:54PM)] Core 0 | PID 2277 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:47:54PM) Core:0 "[(06/28/2025 03:47:54PM)] Core 0 | PID 2277 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:47:54PM) Core:0 "[(06/28/2025 03:47:54PM)] Core 0 | PID 2277 | DECLARE: var1 = 74"
(06/28/2025 03:47:54PM) Core:0 "[(06/28/2025 03:47:54PM)] Core 0 | PID 2277 | SLEEP: for 386ms"
(06/28/2025 03:47:54PM) Core:0 "[(06/28/2025 03:47:54PM)] Core 0 | PID 2277 | PRINT: "Hello from process_1278 [instruction 3]""
(06/28/2025 03:47:54PM) Core:0 "[(06/28/2025 03:47:54PM)] Core 0 | PID 2277 | SUBTRACT: 61 - 22 = 39"
(06/28/2025 03:47:54PM) Core:0 "[(06/28/2025 03:47:54PM)] Core 0 | PID 2277 | ADD: 22 + 74 = 96"
(06/28/2025 03:47:54PM) Core:0 "[(06/28/2025 03:47:54PM)] Core 0 | PID 2277 | SLEEP: for 226ms"
(06/28/2025 03:47:54PM) Core:0 "[(06/28/2025 03:47:54PM)] Core 0 | PID 2277 | SUBTRACT: 36 - 49 = 0"
(06/28/2025 03:47:54PM) Core:0 "[(06/28/2025 03:47:54PM)] Core 0 | PID 2277 | DECLARE: var8 = 28"
(06/28/2025 03:47:54PM) Core:0 "[(06/28/2025 03:47:54PM)] Core 0 | PID 2277 | PRINT: "Hello from process_1278 [instruction 9]""
