(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | DECLARE: var0 = 96"
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | DECLARE: var1 = 52"
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | DECLARE: var2 = 100"
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | DECLARE: var3 = 40"
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | DECLARE: var4 = 4"
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Hello from process_1691 [instruction 0]""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | DECLARE: var1 = 48"
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 1 (outer 3)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 2 (outer 3)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 3 (outer 3)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 1 (outer 4)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 2 (outer 4)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 3 (outer 4)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | ADD: 40 + 4 = 44"
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | DECLARE: var4 = 61"
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | DECLARE: var5 = 36"
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 1 (outer 3)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 2 (outer 3)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 3 (outer 3)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 1 (outer 4)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 2 (outer 4)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 3 (outer 4)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | SUBTRACT: 100 - 40 = 60"
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | DECLARE: var8 = 69"
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 1 (outer 3)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 2 (outer 3)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 3 (outer 3)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 1 (outer 4)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 2 (outer 4)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 3 (outer 4)""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | ADD: 96 + 48 = 144"
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | DECLARE: var11 = 36"
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | SLEEP: for 118ms"
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | PRINT: "Hello from process_1691 [instruction 13]""
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | SUBTRACT: 61 - 96 = 0"
(06/28/2025 03:54:51PM) Core:2 "[(06/28/2025 03:54:51PM)] Core 2 | PID 2690 | SUBTRACT: 96 - 48 = 48"
(06/28/2025 03:54:52PM) Core:2 "[(06/28/2025 03:54:52PM)] Core 2 | PID 2690 | SLEEP: for 488ms"
(06/28/2025 03:54:52PM) Core:2 "[(06/28/2025 03:54:52PM)] Core 2 | PID 2690 | DECLARE: var17 = 78"
(06/28/2025 03:54:52PM) Core:2 "[(06/28/2025 03:54:52PM)] Core 2 | PID 2690 | PRINT: "Hello from process_1691 [instruction 18]""
(06/28/2025 03:54:52PM) Core:2 "[(06/28/2025 03:54:52PM)] Core 2 | PID 2690 | ADD: 61 + 96 = 157"
(06/28/2025 03:54:52PM) Core:2 "[(06/28/2025 03:54:52PM)] Core 2 | PID 2690 | SUBTRACT: 96 - 48 = 48"
(06/28/2025 03:54:52PM) Core:2 "[(06/28/2025 03:54:52PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:54:52PM) Core:2 "[(06/28/2025 03:54:52PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:54:52PM) Core:2 "[(06/28/2025 03:54:52PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:54:52PM) Core:2 "[(06/28/2025 03:54:52PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:54:52PM) Core:2 "[(06/28/2025 03:54:52PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:54:52PM) Core:2 "[(06/28/2025 03:54:52PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:54:52PM) Core:2 "[(06/28/2025 03:54:52PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 1 (outer 3)""
(06/28/2025 03:54:52PM) Core:2 "[(06/28/2025 03:54:52PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 2 (outer 3)""
(06/28/2025 03:54:52PM) Core:2 "[(06/28/2025 03:54:52PM)] Core 2 | PID 2690 | PRINT: "Loop iteration 3 (outer 3)""
(06/28/2025 03:54:52PM) Core:2 "Process completed successfully"
