(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | DECLARE: var0 = 44"
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | DECLARE: var1 = 65"
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | DECLARE: var2 = 39"
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | DECLARE: var3 = 54"
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | DECLARE: var4 = 23"
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | ADD: 44 + 65 = 109"
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | SUBTRACT: 65 - 39 = 26"
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | SUBTRACT: 39 - 54 = 0"
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | SUBTRACT: 54 - 23 = 31"
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | SUBTRACT: 23 - 44 = 0"
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | SUBTRACT: 44 - 65 = 0"
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | ADD: 65 + 39 = 104"
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | DECLARE: var7 = 39"
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | ADD: 54 + 23 = 77"
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | PRINT: "Hello from process_1294 [instruction 9]""
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | PRINT: "Loop iteration 1 (outer 3)""
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | PRINT: "Loop iteration 2 (outer 3)""
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | PRINT: "Loop iteration 3 (outer 3)""
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | SUBTRACT: 65 - 39 = 26"
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | SLEEP: for 345ms"
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | PRINT: "Loop iteration 1 (outer 3)""
(06/28/2025 03:48:10PM) Core:0 "[(06/28/2025 03:48:10PM)] Core 0 | PID 2293 | PRINT: "Loop iteration 2 (outer 3)""
(06/28/2025 03:48:11PM) Core:0 "[(06/28/2025 03:48:11PM)] Core 0 | PID 2293 | PRINT: "Loop iteration 3 (outer 3)""
(06/28/2025 03:48:11PM) Core:0 "[(06/28/2025 03:48:11PM)] Core 0 | PID 2293 | PRINT: "Loop iteration 1 (outer 4)""
(06/28/2025 03:48:11PM) Core:0 "[(06/28/2025 03:48:11PM)] Core 0 | PID 2293 | PRINT: "Loop iteration 2 (outer 4)""
(06/28/2025 03:48:11PM) Core:0 "[(06/28/2025 03:48:11PM)] Core 0 | PID 2293 | PRINT: "Loop iteration 3 (outer 4)""
(06/28/2025 03:48:11PM) Core:0 "[(06/28/2025 03:48:11PM)] Core 0 | PID 2293 | SLEEP: for 374ms"
(06/28/2025 03:48:11PM) Core:0 "[(06/28/2025 03:48:11PM)] Core 0 | PID 2293 | ADD: 44 + 65 = 109"
(06/28/2025 03:48:11PM) Core:0 "[(06/28/2025 03:48:11PM)] Core 0 | PID 2293 | ADD: 65 + 39 = 104"
(06/28/2025 03:48:11PM) Core:0 "[(06/28/2025 03:48:11PM)] Core 0 | PID 2293 | SLEEP: for 450ms"
(06/28/2025 03:48:11PM) Core:0 "[(06/28/2025 03:48:11PM)] Core 0 | PID 2293 | PRINT: "Hello from process_1294 [instruction 18]""
(06/28/2025 03:48:11PM) Core:0 "[(06/28/2025 03:48:11PM)] Core 0 | PID 2293 | SUBTRACT: 23 - 44 = 0"
(06/28/2025 03:48:11PM) Core:0 "[(06/28/2025 03:48:11PM)] Core 0 | PID 2293 | DECLARE: var20 = 44"
(06/28/2025 03:48:12PM) Core:0 "[(06/28/2025 03:48:12PM)] Core 0 | PID 2293 | ADD: 65 + 39 = 104"
(06/28/2025 03:48:12PM) Core:0 "[(06/28/2025 03:48:12PM)] Core 0 | PID 2293 | SLEEP: for 406ms"
(06/28/2025 03:48:12PM) Core:0 "[(06/28/2025 03:48:12PM)] Core 0 | PID 2293 | SLEEP: for 411ms"
(06/28/2025 03:48:12PM) Core:0 "[(06/28/2025 03:48:12PM)] Core 0 | PID 2293 | DECLARE: var24 = 28"
(06/28/2025 03:48:13PM) Core:0 "[(06/28/2025 03:48:13PM)] Core 0 | PID 2293 | SLEEP: for 262ms"
