(06/28/2025 03:54:00PM) Core:2 "[(06/28/2025 03:54:00PM)] Core 2 | PID 2640 | DECLARE: var0 = 27"
(06/28/2025 03:54:00PM) Core:2 "[(06/28/2025 03:54:00PM)] Core 2 | PID 2640 | DECLARE: var1 = 81"
(06/28/2025 03:54:00PM) Core:2 "[(06/28/2025 03:54:00PM)] Core 2 | PID 2640 | DECLARE: var2 = 57"
(06/28/2025 03:54:00PM) Core:2 "[(06/28/2025 03:54:00PM)] Core 2 | PID 2640 | DECLARE: var3 = 97"
(06/28/2025 03:54:00PM) Core:2 "[(06/28/2025 03:54:00PM)] Core 2 | PID 2640 | DECLARE: var4 = 12"
(06/28/2025 03:54:00PM) Core:2 "[(06/28/2025 03:54:00PM)] Core 2 | PID 2640 | PRINT: "Hello from process_1641 [instruction 0]""
(06/28/2025 03:54:00PM) Core:2 "[(06/28/2025 03:54:00PM)] Core 2 | PID 2640 | ADD: 81 + 57 = 138"
(06/28/2025 03:54:00PM) Core:2 "[(06/28/2025 03:54:00PM)] Core 2 | PID 2640 | SUBTRACT: 57 - 97 = 0"
(06/28/2025 03:54:01PM) Core:2 "[(06/28/2025 03:54:01PM)] Core 2 | PID 2640 | SLEEP: for 369ms"
(06/28/2025 03:54:01PM) Core:2 "[(06/28/2025 03:54:01PM)] Core 2 | PID 2640 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:54:01PM) Core:2 "[(06/28/2025 03:54:01PM)] Core 2 | PID 2640 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:54:01PM) Core:2 "[(06/28/2025 03:54:01PM)] Core 2 | PID 2640 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:54:01PM) Core:2 "[(06/28/2025 03:54:01PM)] Core 2 | PID 2640 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:54:01PM) Core:2 "[(06/28/2025 03:54:01PM)] Core 2 | PID 2640 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:54:01PM) Core:2 "[(06/28/2025 03:54:01PM)] Core 2 | PID 2640 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:54:01PM) Core:2 "[(06/28/2025 03:54:01PM)] Core 2 | PID 2640 | PRINT: "Loop iteration 1 (outer 3)""
(06/28/2025 03:54:01PM) Core:2 "[(06/28/2025 03:54:01PM)] Core 2 | PID 2640 | PRINT: "Loop iteration 2 (outer 3)""
(06/28/2025 03:54:01PM) Core:2 "[(06/28/2025 03:54:01PM)] Core 2 | PID 2640 | PRINT: "Loop iteration 3 (outer 3)""
(06/28/2025 03:54:01PM) Core:2 "[(06/28/2025 03:54:01PM)] Core 2 | PID 2640 | PRINT: "Loop iteration 1 (outer 4)""
(06/28/2025 03:54:01PM) Core:2 "[(06/28/2025 03:54:01PM)] Core 2 | PID 2640 | PRINT: "Loop iteration 2 (outer 4)""
(06/28/2025 03:54:01PM) Core:0 "[(06/28/2025 03:54:01PM)] Core 0 | PID 2640 | PRINT: "Loop iteration 3 (outer 4)""
(06/28/2025 03:54:01PM) Core:0 "[(06/28/2025 03:54:01PM)] Core 0 | PID 2640 | ADD: 27 + 81 = 108"
(06/28/2025 03:54:01PM) Core:0 "[(06/28/2025 03:54:01PM)] Core 0 | PID 2640 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:54:01PM) Core:0 "[(06/28/2025 03:54:01PM)] Core 0 | PID 2640 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:54:01PM) Core:0 "[(06/28/2025 03:54:01PM)] Core 0 | PID 2640 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:54:01PM) Core:0 "[(06/28/2025 03:54:01PM)] Core 0 | PID 2640 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:54:01PM) Core:0 "[(06/28/2025 03:54:01PM)] Core 0 | PID 2640 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:54:01PM) Core:0 "[(06/28/2025 03:54:01PM)] Core 0 | PID 2640 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:54:01PM) Core:0 "[(06/28/2025 03:54:01PM)] Core 0 | PID 2640 | PRINT: "Loop iteration 1 (outer 3)""
(06/28/2025 03:54:01PM) Core:0 "[(06/28/2025 03:54:01PM)] Core 0 | PID 2640 | PRINT: "Loop iteration 2 (outer 3)""
(06/28/2025 03:54:01PM) Core:0 "[(06/28/2025 03:54:01PM)] Core 0 | PID 2640 | PRINT: "Loop iteration 3 (outer 3)""
(06/28/2025 03:54:01PM) Core:0 "[(06/28/2025 03:54:01PM)] Core 0 | PID 2640 | PRINT: "Hello from process_1641 [instruction 7]""
