(06/28/2025 03:50:22PM) Core:2 "[(06/28/2025 03:50:22PM)] Core 2 | PID 2424 | DECLARE: var0 = 17"
(06/28/2025 03:50:22PM) Core:2 "[(06/28/2025 03:50:22PM)] Core 2 | PID 2424 | DECLARE: var1 = 36"
(06/28/2025 03:50:22PM) Core:2 "[(06/28/2025 03:50:22PM)] Core 2 | PID 2424 | DECLARE: var2 = 10"
(06/28/2025 03:50:22PM) Core:2 "[(06/28/2025 03:50:22PM)] Core 2 | PID 2424 | DECLARE: var3 = 63"
(06/28/2025 03:50:22PM) Core:2 "[(06/28/2025 03:50:22PM)] Core 2 | PID 2424 | DECLARE: var4 = 43"
(06/28/2025 03:50:22PM) Core:2 "[(06/28/2025 03:50:22PM)] Core 2 | PID 2424 | SLEEP: for 161ms"
(06/28/2025 03:50:22PM) Core:2 "[(06/28/2025 03:50:22PM)] Core 2 | PID 2424 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:50:22PM) Core:2 "[(06/28/2025 03:50:22PM)] Core 2 | PID 2424 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:50:22PM) Core:2 "[(06/28/2025 03:50:22PM)] Core 2 | PID 2424 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:50:22PM) Core:2 "[(06/28/2025 03:50:22PM)] Core 2 | PID 2424 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:50:22PM) Core:2 "[(06/28/2025 03:50:22PM)] Core 2 | PID 2424 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:50:22PM) Core:2 "[(06/28/2025 03:50:22PM)] Core 2 | PID 2424 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:50:22PM) Core:2 "[(06/28/2025 03:50:22PM)] Core 2 | PID 2424 | PRINT: "Loop iteration 1 (outer 3)""
(06/28/2025 03:50:22PM) Core:2 "[(06/28/2025 03:50:22PM)] Core 2 | PID 2424 | PRINT: "Loop iteration 2 (outer 3)""
(06/28/2025 03:50:22PM) Core:2 "[(06/28/2025 03:50:22PM)] Core 2 | PID 2424 | PRINT: "Loop iteration 3 (outer 3)""
(06/28/2025 03:50:22PM) Core:2 "[(06/28/2025 03:50:22PM)] Core 2 | PID 2424 | PRINT: "Hello from process_1425 [instruction 2]""
(06/28/2025 03:50:22PM) Core:2 "[(06/28/2025 03:50:22PM)] Core 2 | PID 2424 | DECLARE: var3 = 27"
(06/28/2025 03:50:23PM) Core:2 "[(06/28/2025 03:50:23PM)] Core 2 | PID 2424 | SLEEP: for 319ms"
(06/28/2025 03:50:23PM) Core:2 "[(06/28/2025 03:50:23PM)] Core 2 | PID 2424 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:50:23PM) Core:2 "[(06/28/2025 03:50:23PM)] Core 2 | PID 2424 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:50:23PM) Core:2 "[(06/28/2025 03:50:23PM)] Core 2 | PID 2424 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:50:23PM) Core:2 "[(06/28/2025 03:50:23PM)] Core 2 | PID 2424 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:50:23PM) Core:2 "[(06/28/2025 03:50:23PM)] Core 2 | PID 2424 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:50:23PM) Core:2 "[(06/28/2025 03:50:23PM)] Core 2 | PID 2424 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:50:23PM) Core:2 "[(06/28/2025 03:50:23PM)] Core 2 | PID 2424 | PRINT: "Loop iteration 1 (outer 3)""
(06/28/2025 03:50:23PM) Core:2 "[(06/28/2025 03:50:23PM)] Core 2 | PID 2424 | PRINT: "Loop iteration 2 (outer 3)""
(06/28/2025 03:50:23PM) Core:2 "[(06/28/2025 03:50:23PM)] Core 2 | PID 2424 | PRINT: "Loop iteration 3 (outer 3)""
(06/28/2025 03:50:23PM) Core:2 "[(06/28/2025 03:50:23PM)] Core 2 | PID 2424 | PRINT: "Loop iteration 1 (outer 4)""
(06/28/2025 03:50:23PM) Core:2 "[(06/28/2025 03:50:23PM)] Core 2 | PID 2424 | PRINT: "Loop iteration 2 (outer 4)""
(06/28/2025 03:50:23PM) Core:2 "[(06/28/2025 03:50:23PM)] Core 2 | PID 2424 | PRINT: "Loop iteration 3 (outer 4)""
(06/28/2025 03:50:23PM) Core:2 "[(06/28/2025 03:50:23PM)] Core 2 | PID 2424 | ADD: 36 + 10 = 46"
(06/28/2025 03:50:23PM) Core:2 "[(06/28/2025 03:50:23PM)] Core 2 | PID 2424 | SUBTRACT: 10 - 27 = 0"
(06/28/2025 03:50:23PM) Core:2 "[(06/28/2025 03:50:23PM)] Core 2 | PID 2424 | SUBTRACT: 27 - 43 = 0"
(06/28/2025 03:50:23PM) Core:2 "[(06/28/2025 03:50:23PM)] Core 2 | PID 2424 | DECLARE: var9 = 14"
(06/28/2025 03:50:23PM) Core:2 "[(06/28/2025 03:50:23PM)] Core 2 | PID 2424 | ADD: 17 + 36 = 53"
(06/28/2025 03:50:23PM) Core:2 "[(06/28/2025 03:50:23PM)] Core 2 | PID 2424 | PRINT: "Hello from process_1425 [instruction 11]""
(06/28/2025 03:50:23PM) Core:2 "[(06/28/2025 03:50:23PM)] Core 2 | PID 2424 | PRINT: "Hello from process_1425 [instruction 12]""
(06/28/2025 03:50:23PM) Core:2 "[(06/28/2025 03:50:23PM)] Core 2 | PID 2424 | ADD: 27 + 43 = 70"
