(06/28/2025 03:46:36PM) Core:3 "[(06/28/2025 03:46:36PM)] Core 3 | PID 2200 | DECLARE: var0 = 98"
(06/28/2025 03:46:36PM) Core:3 "[(06/28/2025 03:46:36PM)] Core 3 | PID 2200 | DECLARE: var1 = 50"
(06/28/2025 03:46:36PM) Core:3 "[(06/28/2025 03:46:36PM)] Core 3 | PID 2200 | DECLARE: var2 = 70"
(06/28/2025 03:46:36PM) Core:3 "[(06/28/2025 03:46:36PM)] Core 3 | PID 2200 | DECLARE: var3 = 90"
(06/28/2025 03:46:36PM) Core:3 "[(06/28/2025 03:46:36PM)] Core 3 | PID 2200 | DECLARE: var4 = 37"
(06/28/2025 03:46:36PM) Core:3 "[(06/28/2025 03:46:36PM)] Core 3 | PID 2200 | PRINT: "Hello from process_1201 [instruction 0]""
(06/28/2025 03:46:36PM) Core:3 "[(06/28/2025 03:46:36PM)] Core 3 | PID 2200 | SUBTRACT: 50 - 70 = 0"
(06/28/2025 03:46:36PM) Core:3 "[(06/28/2025 03:46:36PM)] Core 3 | PID 2200 | SUBTRACT: 70 - 90 = 0"
(06/28/2025 03:46:36PM) Core:3 "[(06/28/2025 03:46:36PM)] Core 3 | PID 2200 | SUBTRACT: 90 - 37 = 53"
(06/28/2025 03:46:36PM) Core:3 "[(06/28/2025 03:46:36PM)] Core 3 | PID 2200 | ADD: 37 + 98 = 135"
(06/28/2025 03:46:37PM) Core:3 "[(06/28/2025 03:46:37PM)] Core 3 | PID 2200 | SLEEP: for 318ms"
(06/28/2025 03:46:37PM) Core:3 "[(06/28/2025 03:46:37PM)] Core 3 | PID 2200 | SUBTRACT: 50 - 70 = 0"
(06/28/2025 03:46:37PM) Core:3 "[(06/28/2025 03:46:37PM)] Core 3 | PID 2200 | ADD: 70 + 90 = 160"
(06/28/2025 03:46:37PM) Core:3 "[(06/28/2025 03:46:37PM)] Core 3 | PID 2200 | SLEEP: for 400ms"
(06/28/2025 03:46:37PM) Core:3 "[(06/28/2025 03:46:37PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:46:37PM) Core:3 "[(06/28/2025 03:46:37PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:46:37PM) Core:3 "[(06/28/2025 03:46:37PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:46:37PM) Core:3 "[(06/28/2025 03:46:37PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:46:37PM) Core:3 "[(06/28/2025 03:46:37PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:46:37PM) Core:3 "[(06/28/2025 03:46:37PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:46:37PM) Core:3 "[(06/28/2025 03:46:37PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 1 (outer 3)""
(06/28/2025 03:46:37PM) Core:3 "[(06/28/2025 03:46:37PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 2 (outer 3)""
(06/28/2025 03:46:37PM) Core:3 "[(06/28/2025 03:46:37PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 3 (outer 3)""
(06/28/2025 03:46:37PM) Core:3 "[(06/28/2025 03:46:37PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:46:37PM) Core:3 "[(06/28/2025 03:46:37PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:46:37PM) Core:3 "[(06/28/2025 03:46:37PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:46:37PM) Core:3 "[(06/28/2025 03:46:37PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:46:37PM) Core:3 "[(06/28/2025 03:46:37PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:46:38PM) Core:3 "[(06/28/2025 03:46:38PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:46:38PM) Core:3 "[(06/28/2025 03:46:38PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 1 (outer 3)""
(06/28/2025 03:46:38PM) Core:3 "[(06/28/2025 03:46:38PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 2 (outer 3)""
(06/28/2025 03:46:38PM) Core:3 "[(06/28/2025 03:46:38PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 3 (outer 3)""
(06/28/2025 03:46:38PM) Core:3 "[(06/28/2025 03:46:38PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 1 (outer 4)""
(06/28/2025 03:46:38PM) Core:3 "[(06/28/2025 03:46:38PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 2 (outer 4)""
(06/28/2025 03:46:38PM) Core:3 "[(06/28/2025 03:46:38PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 3 (outer 4)""
(06/28/2025 03:46:38PM) Core:3 "[(06/28/2025 03:46:38PM)] Core 3 | PID 2200 | DECLARE: var11 = 69"
(06/28/2025 03:46:38PM) Core:3 "[(06/28/2025 03:46:38PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:46:38PM) Core:3 "[(06/28/2025 03:46:38PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:46:38PM) Core:3 "[(06/28/2025 03:46:38PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:46:38PM) Core:3 "[(06/28/2025 03:46:38PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:46:38PM) Core:3 "[(06/28/2025 03:46:38PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:46:38PM) Core:3 "[(06/28/2025 03:46:38PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:46:38PM) Core:3 "[(06/28/2025 03:46:38PM)] Core 3 | PID 2200 | PRINT: "Hello from process_1201 [instruction 13]""
(06/28/2025 03:46:38PM) Core:3 "[(06/28/2025 03:46:38PM)] Core 3 | PID 2200 | ADD: 37 + 98 = 135"
(06/28/2025 03:46:38PM) Core:3 "[(06/28/2025 03:46:38PM)] Core 3 | PID 2200 | DECLARE: var15 = 41"
(06/28/2025 03:46:38PM) Core:3 "[(06/28/2025 03:46:38PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:46:38PM) Core:3 "[(06/28/2025 03:46:38PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:46:38PM) Core:3 "[(06/28/2025 03:46:38PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:46:38PM) Core:3 "[(06/28/2025 03:46:38PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:46:38PM) Core:3 "[(06/28/2025 03:46:38PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:46:38PM) Core:3 "[(06/28/2025 03:46:38PM)] Core 3 | PID 2200 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:46:38PM) Core:3 "[(06/28/2025 03:46:38PM)] Core 3 | PID 2200 | SUBTRACT: 70 - 90 = 0"
(06/28/2025 03:46:38PM) Core:3 "[(06/28/2025 03:46:38PM)] Core 3 | PID 2200 | ADD: 90 + 37 = 127"
(06/28/2025 03:46:38PM) Core:3 "[(06/28/2025 03:46:38PM)] Core 3 | PID 2200 | PRINT: "Hello from process_1201 [instruction 19]""
(06/28/2025 03:46:38PM) Core:3 "[(06/28/2025 03:46:38PM)] Core 3 | PID 2200 | ADD: 98 + 50 = 148"
(06/28/2025 03:46:38PM) Core:3 "[(06/28/2025 03:46:38PM)] Core 3 | PID 2200 | DECLARE: var21 = 54"
(06/28/2025 03:46:38PM) Core:3 "[(06/28/2025 03:46:38PM)] Core 3 | PID 2200 | DECLARE: var22 = 67"
(06/28/2025 03:46:38PM) Core:3 "[(06/28/2025 03:46:38PM)] Core 3 | PID 2200 | ADD: 90 + 37 = 127"
(06/28/2025 03:46:38PM) Core:3 "[(06/28/2025 03:46:38PM)] Core 3 | PID 2200 | SUBTRACT: 37 - 98 = 0"
(06/28/2025 03:46:39PM) Core:3 "[(06/28/2025 03:46:39PM)] Core 3 | PID 2200 | SLEEP: for 364ms"
(06/28/2025 03:46:39PM) Core:3 "Process completed successfully"
