(06/28/2025 03:46:56PM) Core:2 "[(06/28/2025 03:46:56PM)] Core 2 | PID 2220 | DECLARE: var0 = 84"
(06/28/2025 03:46:56PM) Core:2 "[(06/28/2025 03:46:56PM)] Core 2 | PID 2220 | DECLARE: var1 = 85"
(06/28/2025 03:46:56PM) Core:2 "[(06/28/2025 03:46:56PM)] Core 2 | PID 2220 | DECLARE: var2 = 92"
(06/28/2025 03:46:56PM) Core:2 "[(06/28/2025 03:46:56PM)] Core 2 | PID 2220 | DECLARE: var3 = 66"
(06/28/2025 03:46:56PM) Core:2 "[(06/28/2025 03:46:56PM)] Core 2 | PID 2220 | DECLARE: var4 = 66"
(06/28/2025 03:46:56PM) Core:2 "[(06/28/2025 03:46:56PM)] Core 2 | PID 2220 | DECLARE: var0 = 52"
(06/28/2025 03:46:56PM) Core:2 "[(06/28/2025 03:46:56PM)] Core 2 | PID 2220 | SUBTRACT: 85 - 92 = 0"
(06/28/2025 03:46:56PM) Core:2 "[(06/28/2025 03:46:56PM)] Core 2 | PID 2220 | ADD: 92 + 66 = 158"
(06/28/2025 03:46:56PM) Core:2 "[(06/28/2025 03:46:56PM)] Core 2 | PID 2220 | SLEEP: for 115ms"
(06/28/2025 03:46:56PM) Core:2 "[(06/28/2025 03:46:56PM)] Core 2 | PID 2220 | PRINT: "Hello from process_1221 [instruction 4]""
(06/28/2025 03:46:56PM) Core:2 "[(06/28/2025 03:46:56PM)] Core 2 | PID 2220 | PRINT: "Hello from process_1221 [instruction 5]""
(06/28/2025 03:46:56PM) Core:2 "[(06/28/2025 03:46:56PM)] Core 2 | PID 2220 | DECLARE: var6 = 15"
(06/28/2025 03:46:56PM) Core:2 "[(06/28/2025 03:46:56PM)] Core 2 | PID 2220 | SUBTRACT: 92 - 66 = 26"
(06/28/2025 03:46:57PM) Core:2 "[(06/28/2025 03:46:57PM)] Core 2 | PID 2220 | SLEEP: for 228ms"
(06/28/2025 03:46:57PM) Core:2 "[(06/28/2025 03:46:57PM)] Core 2 | PID 2220 | ADD: 66 + 52 = 118"
(06/28/2025 03:46:57PM) Core:2 "[(06/28/2025 03:46:57PM)] Core 2 | PID 2220 | PRINT: "Hello from process_1221 [instruction 10]""
(06/28/2025 03:46:57PM) Core:2 "[(06/28/2025 03:46:57PM)] Core 2 | PID 2220 | ADD: 85 + 92 = 177"
(06/28/2025 03:46:57PM) Core:2 "[(06/28/2025 03:46:57PM)] Core 2 | PID 2220 | ADD: 92 + 66 = 158"
(06/28/2025 03:46:57PM) Core:2 "[(06/28/2025 03:46:57PM)] Core 2 | PID 2220 | SLEEP: for 186ms"
(06/28/2025 03:46:57PM) Core:2 "[(06/28/2025 03:46:57PM)] Core 2 | PID 2220 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:46:57PM) Core:2 "[(06/28/2025 03:46:57PM)] Core 2 | PID 2220 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:46:57PM) Core:2 "[(06/28/2025 03:46:57PM)] Core 2 | PID 2220 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:46:57PM) Core:2 "[(06/28/2025 03:46:57PM)] Core 2 | PID 2220 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:46:57PM) Core:2 "[(06/28/2025 03:46:57PM)] Core 2 | PID 2220 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:46:57PM) Core:2 "[(06/28/2025 03:46:57PM)] Core 2 | PID 2220 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:46:57PM) Core:2 "[(06/28/2025 03:46:57PM)] Core 2 | PID 2220 | PRINT: "Loop iteration 1 (outer 3)""
(06/28/2025 03:46:57PM) Core:2 "[(06/28/2025 03:46:57PM)] Core 2 | PID 2220 | PRINT: "Loop iteration 2 (outer 3)""
(06/28/2025 03:46:57PM) Core:2 "[(06/28/2025 03:46:57PM)] Core 2 | PID 2220 | PRINT: "Loop iteration 3 (outer 3)""
(06/28/2025 03:46:57PM) Core:2 "[(06/28/2025 03:46:57PM)] Core 2 | PID 2220 | PRINT: "Hello from process_1221 [instruction 15]""
(06/28/2025 03:46:57PM) Core:2 "[(06/28/2025 03:46:57PM)] Core 2 | PID 2220 | SLEEP: for 443ms"
(06/28/2025 03:46:57PM) Core:2 "[(06/28/2025 03:46:57PM)] Core 2 | PID 2220 | ADD: 92 + 66 = 158"
(06/28/2025 03:46:57PM) Core:2 "[(06/28/2025 03:46:57PM)] Core 2 | PID 2220 | DECLARE: var18 = 61"
(06/28/2025 03:46:57PM) Core:2 "[(06/28/2025 03:46:57PM)] Core 2 | PID 2220 | DECLARE: var19 = 85"
(06/28/2025 03:46:58PM) Core:2 "[(06/28/2025 03:46:58PM)] Core 2 | PID 2220 | SUBTRACT: 52 - 85 = 0"
(06/28/2025 03:46:58PM) Core:2 "[(06/28/2025 03:46:58PM)] Core 2 | PID 2220 | DECLARE: var21 = 74"
(06/28/2025 03:46:58PM) Core:2 "[(06/28/2025 03:46:58PM)] Core 2 | PID 2220 | SUBTRACT: 92 - 66 = 26"
(06/28/2025 03:46:58PM) Core:2 "[(06/28/2025 03:46:58PM)] Core 2 | PID 2220 | SLEEP: for 394ms"
