(06/28/2025 03:49:27PM) Core:0 "[(06/28/2025 03:49:27PM)] Core 0 | PID 2370 | DECLARE: var0 = 32"
(06/28/2025 03:49:27PM) Core:0 "[(06/28/2025 03:49:27PM)] Core 0 | PID 2370 | DECLARE: var1 = 67"
(06/28/2025 03:49:27PM) Core:0 "[(06/28/2025 03:49:27PM)] Core 0 | PID 2370 | DECLARE: var2 = 83"
(06/28/2025 03:49:27PM) Core:0 "[(06/28/2025 03:49:27PM)] Core 0 | PID 2370 | DECLARE: var3 = 75"
(06/28/2025 03:49:27PM) Core:0 "[(06/28/2025 03:49:27PM)] Core 0 | PID 2370 | DECLARE: var4 = 1"
(06/28/2025 03:49:27PM) Core:0 "[(06/28/2025 03:49:27PM)] Core 0 | PID 2370 | DECLARE: var0 = 78"
(06/28/2025 03:49:27PM) Core:0 "[(06/28/2025 03:49:27PM)] Core 0 | PID 2370 | SUBTRACT: 67 - 83 = 0"
(06/28/2025 03:49:28PM) Core:0 "[(06/28/2025 03:49:28PM)] Core 0 | PID 2370 | PRINT: "Hello from process_1371 [instruction 2]""
(06/28/2025 03:49:28PM) Core:0 "[(06/28/2025 03:49:28PM)] Core 0 | PID 2370 | ADD: 75 + 1 = 76"
(06/28/2025 03:49:28PM) Core:0 "[(06/28/2025 03:49:28PM)] Core 0 | PID 2370 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:49:28PM) Core:0 "[(06/28/2025 03:49:28PM)] Core 0 | PID 2370 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:49:28PM) Core:0 "[(06/28/2025 03:49:28PM)] Core 0 | PID 2370 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:49:28PM) Core:0 "[(06/28/2025 03:49:28PM)] Core 0 | PID 2370 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:49:28PM) Core:0 "[(06/28/2025 03:49:28PM)] Core 0 | PID 2370 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:49:28PM) Core:0 "[(06/28/2025 03:49:28PM)] Core 0 | PID 2370 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:49:28PM) Core:0 "[(06/28/2025 03:49:28PM)] Core 0 | PID 2370 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:49:28PM) Core:0 "[(06/28/2025 03:49:28PM)] Core 0 | PID 2370 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:49:28PM) Core:0 "[(06/28/2025 03:49:28PM)] Core 0 | PID 2370 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:49:28PM) Core:0 "[(06/28/2025 03:49:28PM)] Core 0 | PID 2370 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:49:28PM) Core:0 "[(06/28/2025 03:49:28PM)] Core 0 | PID 2370 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:49:28PM) Core:0 "[(06/28/2025 03:49:28PM)] Core 0 | PID 2370 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:49:28PM) Core:0 "[(06/28/2025 03:49:28PM)] Core 0 | PID 2370 | PRINT: "Loop iteration 1 (outer 3)""
(06/28/2025 03:49:28PM) Core:0 "[(06/28/2025 03:49:28PM)] Core 0 | PID 2370 | PRINT: "Loop iteration 2 (outer 3)""
(06/28/2025 03:49:28PM) Core:0 "[(06/28/2025 03:49:28PM)] Core 0 | PID 2370 | PRINT: "Loop iteration 3 (outer 3)""
(06/28/2025 03:49:28PM) Core:0 "[(06/28/2025 03:49:28PM)] Core 0 | PID 2370 | SUBTRACT: 67 - 83 = 0"
(06/28/2025 03:49:28PM) Core:2 "[(06/28/2025 03:49:28PM)] Core 2 | PID 2370 | DECLARE: var7 = 62"
(06/28/2025 03:49:28PM) Core:2 "[(06/28/2025 03:49:28PM)] Core 2 | PID 2370 | SLEEP: for 492ms"
(06/28/2025 03:49:28PM) Core:2 "[(06/28/2025 03:49:28PM)] Core 2 | PID 2370 | ADD: 1 + 78 = 79"
(06/28/2025 03:49:28PM) Core:2 "[(06/28/2025 03:49:28PM)] Core 2 | PID 2370 | PRINT: "Hello from process_1371 [instruction 10]""
(06/28/2025 03:49:28PM) Core:2 "[(06/28/2025 03:49:28PM)] Core 2 | PID 2370 | ADD: 67 + 83 = 150"
(06/28/2025 03:49:28PM) Core:2 "[(06/28/2025 03:49:28PM)] Core 2 | PID 2370 | DECLARE: var12 = 39"
(06/28/2025 03:49:28PM) Core:2 "[(06/28/2025 03:49:28PM)] Core 2 | PID 2370 | ADD: 75 + 1 = 76"
(06/28/2025 03:49:28PM) Core:2 "[(06/28/2025 03:49:28PM)] Core 2 | PID 2370 | DECLARE: var14 = 84"
(06/28/2025 03:49:28PM) Core:2 "[(06/28/2025 03:49:28PM)] Core 2 | PID 2370 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:49:28PM) Core:2 "[(06/28/2025 03:49:28PM)] Core 2 | PID 2370 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:49:28PM) Core:2 "[(06/28/2025 03:49:28PM)] Core 2 | PID 2370 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:49:28PM) Core:2 "[(06/28/2025 03:49:28PM)] Core 2 | PID 2370 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:49:28PM) Core:2 "[(06/28/2025 03:49:28PM)] Core 2 | PID 2370 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:49:28PM) Core:2 "[(06/28/2025 03:49:28PM)] Core 2 | PID 2370 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:49:29PM) Core:2 "[(06/28/2025 03:49:29PM)] Core 2 | PID 2370 | PRINT: "Hello from process_1371 [instruction 16]""
(06/28/2025 03:49:29PM) Core:2 "[(06/28/2025 03:49:29PM)] Core 2 | PID 2370 | PRINT: "Hello from process_1371 [instruction 17]""
(06/28/2025 03:49:29PM) Core:2 "[(06/28/2025 03:49:29PM)] Core 2 | PID 2370 | ADD: 75 + 1 = 76"
(06/28/2025 03:49:29PM) Core:2 "[(06/28/2025 03:49:29PM)] Core 2 | PID 2370 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:49:29PM) Core:2 "[(06/28/2025 03:49:29PM)] Core 2 | PID 2370 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:49:29PM) Core:2 "[(06/28/2025 03:49:29PM)] Core 2 | PID 2370 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:49:29PM) Core:2 "[(06/28/2025 03:49:29PM)] Core 2 | PID 2370 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:49:29PM) Core:2 "[(06/28/2025 03:49:29PM)] Core 2 | PID 2370 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:49:29PM) Core:2 "[(06/28/2025 03:49:29PM)] Core 2 | PID 2370 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:49:29PM) Core:2 "[(06/28/2025 03:49:29PM)] Core 2 | PID 2370 | PRINT: "Loop iteration 1 (outer 3)""
(06/28/2025 03:49:29PM) Core:2 "[(06/28/2025 03:49:29PM)] Core 2 | PID 2370 | PRINT: "Loop iteration 2 (outer 3)""
(06/28/2025 03:49:29PM) Core:2 "[(06/28/2025 03:49:29PM)] Core 2 | PID 2370 | PRINT: "Loop iteration 3 (outer 3)""
(06/28/2025 03:49:29PM) Core:2 "[(06/28/2025 03:49:29PM)] Core 2 | PID 2370 | PRINT: "Loop iteration 1 (outer 4)""
(06/28/2025 03:49:29PM) Core:2 "[(06/28/2025 03:49:29PM)] Core 2 | PID 2370 | PRINT: "Loop iteration 2 (outer 4)""
