(06/28/2025 03:47:31PM) Core:0 "[(06/28/2025 03:47:31PM)] Core 0 | PID 2255 | DECLARE: var0 = 1"
(06/28/2025 03:47:31PM) Core:0 "[(06/28/2025 03:47:31PM)] Core 0 | PID 2255 | DECLARE: var1 = 44"
(06/28/2025 03:47:31PM) Core:0 "[(06/28/2025 03:47:31PM)] Core 0 | PID 2255 | DECLARE: var2 = 61"
(06/28/2025 03:47:31PM) Core:0 "[(06/28/2025 03:47:31PM)] Core 0 | PID 2255 | DECLARE: var3 = 98"
(06/28/2025 03:47:31PM) Core:0 "[(06/28/2025 03:47:31PM)] Core 0 | PID 2255 | DECLARE: var4 = 88"
(06/28/2025 03:47:31PM) Core:0 "[(06/28/2025 03:47:31PM)] Core 0 | PID 2255 | PRINT: "Hello from process_1256 [instruction 0]""
(06/28/2025 03:47:31PM) Core:0 "[(06/28/2025 03:47:31PM)] Core 0 | PID 2255 | PRINT: "Hello from process_1256 [instruction 1]""
(06/28/2025 03:47:31PM) Core:0 "[(06/28/2025 03:47:31PM)] Core 0 | PID 2255 | DECLARE: var2 = 58"
(06/28/2025 03:47:31PM) Core:0 "[(06/28/2025 03:47:31PM)] Core 0 | PID 2255 | DECLARE: var3 = 40"
(06/28/2025 03:47:32PM) Core:0 "[(06/28/2025 03:47:32PM)] Core 0 | PID 2255 | SLEEP: for 177ms"
(06/28/2025 03:47:32PM) Core:0 "[(06/28/2025 03:47:32PM)] Core 0 | PID 2255 | PRINT: "Hello from process_1256 [instruction 5]""
(06/28/2025 03:47:32PM) Core:0 "[(06/28/2025 03:47:32PM)] Core 0 | PID 2255 | SLEEP: for 495ms"
(06/28/2025 03:47:32PM) Core:0 "[(06/28/2025 03:47:32PM)] Core 0 | PID 2255 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:47:32PM) Core:0 "[(06/28/2025 03:47:32PM)] Core 0 | PID 2255 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:47:32PM) Core:0 "[(06/28/2025 03:47:32PM)] Core 0 | PID 2255 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:47:32PM) Core:0 "[(06/28/2025 03:47:32PM)] Core 0 | PID 2255 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:47:32PM) Core:0 "[(06/28/2025 03:47:32PM)] Core 0 | PID 2255 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:47:32PM) Core:0 "[(06/28/2025 03:47:32PM)] Core 0 | PID 2255 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:47:32PM) Core:0 "[(06/28/2025 03:47:32PM)] Core 0 | PID 2255 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:47:32PM) Core:0 "[(06/28/2025 03:47:32PM)] Core 0 | PID 2255 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:47:32PM) Core:0 "[(06/28/2025 03:47:32PM)] Core 0 | PID 2255 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:47:32PM) Core:0 "[(06/28/2025 03:47:32PM)] Core 0 | PID 2255 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:47:32PM) Core:0 "[(06/28/2025 03:47:32PM)] Core 0 | PID 2255 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:47:32PM) Core:0 "[(06/28/2025 03:47:32PM)] Core 0 | PID 2255 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:47:32PM) Core:0 "[(06/28/2025 03:47:32PM)] Core 0 | PID 2255 | PRINT: "Loop iteration 1 (outer 3)""
