(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | DECLARE: var0 = 24"
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | DECLARE: var1 = 56"
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | DECLARE: var2 = 98"
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | DECLARE: var3 = 56"
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | DECLARE: var4 = 100"
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | PRINT: "Hello from process_1284 [instruction 1]""
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | SUBTRACT: 98 - 56 = 42"
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | PRINT: "Loop iteration 1 (outer 3)""
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | PRINT: "Loop iteration 2 (outer 3)""
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | PRINT: "Loop iteration 3 (outer 3)""
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | ADD: 100 + 24 = 124"
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | PRINT: "Hello from process_1284 [instruction 5]""
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | PRINT: "Hello from process_1284 [instruction 6]""
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | DECLARE: var7 = 38"
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | PRINT: "Hello from process_1284 [instruction 8]""
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | SLEEP: for 293ms"
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | SUBTRACT: 24 - 56 = 0"
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | PRINT: "Loop iteration 1 (outer 3)""
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | PRINT: "Loop iteration 2 (outer 3)""
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | PRINT: "Loop iteration 3 (outer 3)""
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | PRINT: "Hello from process_1284 [instruction 12]""
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | DECLARE: var13 = 87"
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | DECLARE: var14 = 37"
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | DECLARE: var15 = 63"
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | ADD: 56 + 98 = 154"
(06/28/2025 03:48:00PM) Core:1 "[(06/28/2025 03:48:00PM)] Core 1 | PID 2283 | DECLARE: var17 = 90"
(06/28/2025 03:48:01PM) Core:1 "[(06/28/2025 03:48:01PM)] Core 1 | PID 2283 | DECLARE: var18 = 73"
(06/28/2025 03:48:01PM) Core:1 "[(06/28/2025 03:48:01PM)] Core 1 | PID 2283 | SLEEP: for 307ms"
(06/28/2025 03:48:01PM) Core:1 "[(06/28/2025 03:48:01PM)] Core 1 | PID 2283 | DECLARE: var20 = 42"
(06/28/2025 03:48:01PM) Core:1 "[(06/28/2025 03:48:01PM)] Core 1 | PID 2283 | ADD: 56 + 98 = 154"
(06/28/2025 03:48:01PM) Core:1 "[(06/28/2025 03:48:01PM)] Core 1 | PID 2283 | SLEEP: for 314ms"
(06/28/2025 03:48:01PM) Core:1 "[(06/28/2025 03:48:01PM)] Core 1 | PID 2283 | ADD: 56 + 100 = 156"
(06/28/2025 03:48:01PM) Core:1 "[(06/28/2025 03:48:01PM)] Core 1 | PID 2283 | SLEEP: for 110ms"
