(06/28/2025 03:49:13PM) Core:2 "[(06/28/2025 03:49:13PM)] Core 2 | PID 2356 | DECLARE: var0 = 71"
(06/28/2025 03:49:13PM) Core:2 "[(06/28/2025 03:49:13PM)] Core 2 | PID 2356 | DECLARE: var1 = 56"
(06/28/2025 03:49:13PM) Core:2 "[(06/28/2025 03:49:13PM)] Core 2 | PID 2356 | DECLARE: var2 = 45"
(06/28/2025 03:49:13PM) Core:2 "[(06/28/2025 03:49:13PM)] Core 2 | PID 2356 | DECLARE: var3 = 22"
(06/28/2025 03:49:13PM) Core:2 "[(06/28/2025 03:49:13PM)] Core 2 | PID 2356 | DECLARE: var4 = 29"
(06/28/2025 03:49:13PM) Core:2 "[(06/28/2025 03:49:13PM)] Core 2 | PID 2356 | ADD: 71 + 56 = 127"
(06/28/2025 03:49:13PM) Core:2 "[(06/28/2025 03:49:13PM)] Core 2 | PID 2356 | PRINT: "Hello from process_1357 [instruction 1]""
(06/28/2025 03:49:13PM) Core:2 "[(06/28/2025 03:49:13PM)] Core 2 | PID 2356 | ADD: 45 + 22 = 67"
(06/28/2025 03:49:13PM) Core:2 "[(06/28/2025 03:49:13PM)] Core 2 | PID 2356 | ADD: 22 + 29 = 51"
(06/28/2025 03:49:13PM) Core:2 "[(06/28/2025 03:49:13PM)] Core 2 | PID 2356 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:49:13PM) Core:2 "[(06/28/2025 03:49:13PM)] Core 2 | PID 2356 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:49:13PM) Core:2 "[(06/28/2025 03:49:13PM)] Core 2 | PID 2356 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:49:13PM) Core:2 "[(06/28/2025 03:49:13PM)] Core 2 | PID 2356 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:49:13PM) Core:2 "[(06/28/2025 03:49:13PM)] Core 2 | PID 2356 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:49:14PM) Core:2 "[(06/28/2025 03:49:14PM)] Core 2 | PID 2356 | PRINT: "Loop iteration 3 (outer 2)""
