Process name: p132
Process ID: 132
Logs:

(06/26/2025 07:03:20PM) Core:1 "DECLARE var0 = 36"
(06/26/2025 07:03:21PM) Core:1 "DECLARE var1 = 19"
(06/26/2025 07:03:21PM) Core:1 "DECLARE var2 = 59"
(06/26/2025 07:03:21PM) Core:1 "DECLARE var3 = 48"
(06/26/2025 07:03:21PM) Core:1 "DECLARE var4 = 27"
(06/26/2025 07:03:21PM) Core:1 "DECLARE var5 = 71"
(06/26/2025 07:03:21PM) Core:1 "SUBTRACT result6 = 19 - 59"
(06/26/2025 07:03:21PM) Core:1 "SUBTRACT result7 = 59 - 48"
(06/26/2025 07:03:21PM) Core:1 "Loop iteration 1"
(06/26/2025 07:03:21PM) Core:1 "Loop iteration 2"
(06/26/2025 07:03:21PM) Core:1 "Loop iteration 3"
(06/26/2025 07:03:21PM) Core:1 "Loop iteration 1"
(06/26/2025 07:03:21PM) Core:1 "Loop iteration 2"
(06/26/2025 07:03:21PM) Core:1 "Loop iteration 3"
(06/26/2025 07:03:21PM) Core:1 "Loop iteration 1"
(06/26/2025 07:03:21PM) Core:1 "Loop iteration 2"
(06/26/2025 07:03:21PM) Core:1 "Loop iteration 3"
(06/26/2025 07:03:21PM) Core:1 "Loop iteration 1"
(06/26/2025 07:03:21PM) Core:1 "Loop iteration 2"
(06/26/2025 07:03:21PM) Core:1 "Loop iteration 3"
(06/26/2025 07:03:21PM) Core:1 "Loop iteration 1"
(06/26/2025 07:03:21PM) Core:1 "Loop iteration 2"
(06/26/2025 07:03:21PM) Core:1 "Loop iteration 3"
(06/26/2025 07:03:21PM) Core:1 "Hello from p132 [9]"
(06/26/2025 07:03:22PM) Core:1 "DECLARE var10 = 35"
(06/26/2025 07:03:22PM) Core:1 "ADD result11 = 19 + 59"
(06/26/2025 07:03:22PM) Core:1 "Hello from p132 [12]"
(06/26/2025 07:03:23PM) Core:1 "ADD result14 = 27 + 36"
(06/26/2025 07:03:24PM) Core:1 "Hello from p132 [17]"
(06/26/2025 07:03:24PM) Core:1 "Hello from p132 [18]"
(06/26/2025 07:03:24PM) Core:1 "Loop iteration 1"
(06/26/2025 07:03:24PM) Core:1 "Loop iteration 2"
(06/26/2025 07:03:24PM) Core:1 "Loop iteration 3"
(06/26/2025 07:03:24PM) Core:1 "Loop iteration 1"
(06/26/2025 07:03:24PM) Core:1 "Loop iteration 2"
(06/26/2025 07:03:24PM) Core:1 "Loop iteration 3"
(06/26/2025 07:03:24PM) Core:1 "Loop iteration 1"
(06/26/2025 07:03:24PM) Core:1 "Loop iteration 2"
(06/26/2025 07:03:24PM) Core:1 "Loop iteration 3"
(06/26/2025 07:03:24PM) Core:1 "Loop iteration 1"
(06/26/2025 07:03:24PM) Core:1 "Loop iteration 2"
(06/26/2025 07:03:24PM) Core:1 "Loop iteration 3"
(06/26/2025 07:03:24PM) Core:1 "Loop iteration 1"
(06/26/2025 07:03:24PM) Core:1 "Loop iteration 2"
(06/26/2025 07:03:24PM) Core:1 "Loop iteration 3"
(06/26/2025 07:03:24PM) Core:1 "Loop iteration 1"
(06/26/2025 07:03:24PM) Core:1 "Loop iteration 2"
(06/26/2025 07:03:24PM) Core:1 "Loop iteration 3"
(06/26/2025 07:03:24PM) Core:1 "Loop iteration 1"
(06/26/2025 07:03:24PM) Core:1 "Loop iteration 2"
(06/26/2025 07:03:24PM) Core:1 "Loop iteration 3"
(06/26/2025 07:03:24PM) Core:1 "DECLARE var21 = 55"
(06/26/2025 07:03:25PM) Core:1 "SUBTRACT result22 = 59 - 48"
(06/26/2025 07:03:25PM) Core:1 "SUBTRACT result23 = 48 - 27"
(06/26/2025 07:03:25PM) Core:1 "SUBTRACT result24 = 27 - 36"
(06/26/2025 07:03:25PM) Core:1 "Loop iteration 1"
(06/26/2025 07:03:25PM) Core:1 "Loop iteration 2"
(06/26/2025 07:03:25PM) Core:1 "Loop iteration 3"
(06/26/2025 07:03:25PM) Core:1 "Loop iteration 1"
(06/26/2025 07:03:25PM) Core:1 "Loop iteration 2"
(06/26/2025 07:03:25PM) Core:1 "Loop iteration 3"
(06/26/2025 07:03:25PM) Core:1 "Loop iteration 1"
(06/26/2025 07:03:25PM) Core:1 "Loop iteration 2"
(06/26/2025 07:03:25PM) Core:1 "Loop iteration 3"
(06/26/2025 07:03:25PM) Core:1 "Hello from p132 [26]"
(06/26/2025 07:03:26PM) Core:1 "Hello from p132 [29]"
(06/26/2025 07:03:26PM) Core:1 "ADD result30 = 36 + 19"
(06/26/2025 07:03:27PM) Core:1 "ADD result31 = 19 + 59"
(06/26/2025 07:03:27PM) Core:1 "Loop iteration 1"
(06/26/2025 07:03:27PM) Core:1 "Loop iteration 2"
(06/26/2025 07:03:27PM) Core:1 "Loop iteration 3"
(06/26/2025 07:03:27PM) Core:1 "Loop iteration 1"
(06/26/2025 07:03:27PM) Core:1 "Loop iteration 2"
(06/26/2025 07:03:27PM) Core:1 "Loop iteration 3"
(06/26/2025 07:03:27PM) Core:1 "ADD result33 = 48 + 27"
(06/26/2025 07:03:27PM) Core:1 "Hello from p132 [34]"
(06/26/2025 07:03:27PM) Core:1 "DECLARE var35 = 44"
(06/26/2025 07:03:27PM) Core:1 "DECLARE var36 = 45"
(06/26/2025 07:03:27PM) Core:1 "ADD result37 = 59 + 48"
(06/26/2025 07:03:27PM) Core:1 "SUBTRACT result38 = 48 - 27"
(06/26/2025 07:03:28PM) Core:1 "DECLARE var41 = 44"
(06/26/2025 07:03:29PM) Core:1 "ADD result43 = 48 + 27"
(06/26/2025 07:03:30PM) Core:1 "Hello from p132 [45]"
(06/26/2025 07:03:30PM) Core:1 "Hello from p132 [46]"
(06/26/2025 07:03:30PM) Core:1 "ADD result47 = 59 + 48"
(06/26/2025 07:03:30PM) Core:1 "Hello from p132 [48]"
(06/26/2025 07:03:30PM) Core:1 "DECLARE var49 = 40"
(06/26/2025 07:03:30PM) Core:1 "SUBTRACT result50 = 36 - 19"
(06/26/2025 07:03:30PM) Core:1 "Loop iteration 1"
(06/26/2025 07:03:30PM) Core:1 "Loop iteration 2"
(06/26/2025 07:03:30PM) Core:1 "Loop iteration 3"
(06/26/2025 07:03:30PM) Core:1 "Loop iteration 1"
(06/26/2025 07:03:30PM) Core:1 "Loop iteration 2"
(06/26/2025 07:03:30PM) Core:1 "Loop iteration 3"
(06/26/2025 07:03:30PM) Core:1 "Loop iteration 1"
(06/26/2025 07:03:30PM) Core:1 "Loop iteration 2"
(06/26/2025 07:03:30PM) Core:1 "Loop iteration 3"
(06/26/2025 07:03:30PM) Core:1 "SUBTRACT result52 = 59 - 48"
(06/26/2025 07:03:30PM) Core:1 "Hello from p132 [53]"
(06/26/2025 07:03:31PM) Core:1 "ADD result54 = 27 + 36"
(06/26/2025 07:03:31PM) Core:1 "Hello from p132 [55]"
(06/26/2025 07:03:31PM) Core:1 "SUBTRACT result56 = 19 - 59"
(06/26/2025 07:03:31PM) Core:1 "Loop iteration 1"
(06/26/2025 07:03:31PM) Core:1 "Loop iteration 2"
(06/26/2025 07:03:31PM) Core:1 "Loop iteration 3"
(06/26/2025 07:03:31PM) Core:1 "Loop iteration 1"
(06/26/2025 07:03:31PM) Core:1 "Loop iteration 2"
(06/26/2025 07:03:31PM) Core:1 "Loop iteration 3"
(06/26/2025 07:03:31PM) Core:1 "Loop iteration 1"
(06/26/2025 07:03:31PM) Core:1 "Loop iteration 2"
(06/26/2025 07:03:31PM) Core:1 "Loop iteration 3"
(06/26/2025 07:03:31PM) Core:1 "Loop iteration 1"
(06/26/2025 07:03:31PM) Core:1 "Loop iteration 2"
(06/26/2025 07:03:31PM) Core:1 "Loop iteration 3"
(06/26/2025 07:03:31PM) Core:1 "ADD result58 = 48 + 27"
(06/26/2025 07:03:31PM) Core:1 "SUBTRACT result59 = 27 - 36"
(06/26/2025 07:03:31PM) Core:1 "DECLARE var60 = 91"
(06/26/2025 07:03:31PM) Core:1 "SUBTRACT result61 = 19 - 59"
(06/26/2025 07:03:31PM) Core:1 "SUBTRACT result62 = 59 - 48"
(06/26/2025 07:03:32PM) Core:1 "SUBTRACT result63 = 48 - 27"
(06/26/2025 07:03:32PM) Core:1 "ADD result64 = 27 + 36"
(06/26/2025 07:03:33PM) Core:1 "ADD result66 = 19 + 59"
(06/26/2025 07:03:33PM) Core:1 "ADD result67 = 59 + 48"
(06/26/2025 07:03:34PM) Core:1 "Hello from p132 [69]"
(06/26/2025 07:03:34PM) Core:1 "DECLARE var70 = 58"
(06/26/2025 07:03:35PM) Core:1 "SUBTRACT result73 = 48 - 27"
(06/26/2025 07:03:35PM) Core:1 "DECLARE var74 = 74"
(06/26/2025 07:03:35PM) Core:1 "Hello from p132 [75]"
