(06/28/2025 03:54:01PM) Core:2 "[(06/28/2025 03:54:01PM)] Core 2 | PID 2639 | SLEEP: for 281ms"
(06/28/2025 03:54:01PM) Core:2 "[(06/28/2025 03:54:01PM)] Core 2 | PID 2639 | DECLARE: var24 = 59"
(06/28/2025 03:54:01PM) Core:2 "[(06/28/2025 03:54:01PM)] Core 2 | PID 2639 | DECLARE: var25 = 18"
(06/28/2025 03:54:01PM) Core:2 "[(06/28/2025 03:54:01PM)] Core 2 | PID 2639 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:54:01PM) Core:2 "[(06/28/2025 03:54:01PM)] Core 2 | PID 2639 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:54:01PM) Core:2 "[(06/28/2025 03:54:01PM)] Core 2 | PID 2639 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:54:01PM) Core:2 "[(06/28/2025 03:54:01PM)] Core 2 | PID 2639 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:54:01PM) Core:2 "[(06/28/2025 03:54:01PM)] Core 2 | PID 2639 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:54:01PM) Core:2 "[(06/28/2025 03:54:01PM)] Core 2 | PID 2639 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:54:01PM) Core:2 "[(06/28/2025 03:54:01PM)] Core 2 | PID 2639 | PRINT: "Loop iteration 1 (outer 3)""
(06/28/2025 03:54:01PM) Core:2 "[(06/28/2025 03:54:01PM)] Core 2 | PID 2639 | PRINT: "Loop iteration 2 (outer 3)""
(06/28/2025 03:54:01PM) Core:2 "[(06/28/2025 03:54:01PM)] Core 2 | PID 2639 | PRINT: "Loop iteration 3 (outer 3)""
(06/28/2025 03:54:02PM) Core:2 "[(06/28/2025 03:54:02PM)] Core 2 | PID 2639 | SLEEP: for 384ms"
(06/28/2025 03:54:02PM) Core:2 "[(06/28/2025 03:54:02PM)] Core 2 | PID 2639 | PRINT: "Hello from process_1640 [instruction 28]""
(06/28/2025 03:54:02PM) Core:2 "[(06/28/2025 03:54:02PM)] Core 2 | PID 2639 | PRINT: "Hello from process_1640 [instruction 29]""
(06/28/2025 03:54:02PM) Core:2 "[(06/28/2025 03:54:02PM)] Core 2 | PID 2639 | ADD: 29 + 78 = 107"
(06/28/2025 03:54:02PM) Core:2 "[(06/28/2025 03:54:02PM)] Core 2 | PID 2639 | SUBTRACT: 78 - 60 = 18"
(06/28/2025 03:54:02PM) Core:2 "[(06/28/2025 03:54:02PM)] Core 2 | PID 2639 | PRINT: "Hello from process_1640 [instruction 32]""
(06/28/2025 03:54:02PM) Core:2 "[(06/28/2025 03:54:02PM)] Core 2 | PID 2639 | SUBTRACT: 87 - 9 = 78"
(06/28/2025 03:54:02PM) Core:2 "[(06/28/2025 03:54:02PM)] Core 2 | PID 2639 | DECLARE: var34 = 21"
(06/28/2025 03:54:02PM) Core:2 "[(06/28/2025 03:54:02PM)] Core 2 | PID 2639 | SUBTRACT: 29 - 78 = 0"
(06/28/2025 03:54:02PM) Core:2 "[(06/28/2025 03:54:02PM)] Core 2 | PID 2639 | SUBTRACT: 78 - 60 = 18"
(06/28/2025 03:54:02PM) Core:2 "[(06/28/2025 03:54:02PM)] Core 2 | PID 2639 | ADD: 60 + 87 = 147"
(06/28/2025 03:54:02PM) Core:2 "[(06/28/2025 03:54:02PM)] Core 2 | PID 2639 | DECLARE: var38 = 28"
(06/28/2025 03:54:02PM) Core:2 "[(06/28/2025 03:54:02PM)] Core 2 | PID 2639 | DECLARE: var39 = 90"
(06/28/2025 03:54:02PM) Core:2 "[(06/28/2025 03:54:02PM)] Core 2 | PID 2639 | DECLARE: var40 = 97"
(06/28/2025 03:54:02PM) Core:2 "[(06/28/2025 03:54:02PM)] Core 2 | PID 2639 | SLEEP: for 325ms"
(06/28/2025 03:54:02PM) Core:2 "[(06/28/2025 03:54:02PM)] Core 2 | PID 2639 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:54:02PM) Core:2 "[(06/28/2025 03:54:02PM)] Core 2 | PID 2639 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:54:02PM) Core:2 "[(06/28/2025 03:54:02PM)] Core 2 | PID 2639 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:54:02PM) Core:2 "[(06/28/2025 03:54:02PM)] Core 2 | PID 2639 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:54:02PM) Core:2 "[(06/28/2025 03:54:02PM)] Core 2 | PID 2639 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:54:02PM) Core:2 "[(06/28/2025 03:54:02PM)] Core 2 | PID 2639 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:54:02PM) Core:2 "[(06/28/2025 03:54:02PM)] Core 2 | PID 2639 | PRINT: "Loop iteration 1 (outer 3)""
(06/28/2025 03:54:02PM) Core:2 "[(06/28/2025 03:54:02PM)] Core 2 | PID 2639 | PRINT: "Loop iteration 2 (outer 3)""
(06/28/2025 03:54:02PM) Core:2 "[(06/28/2025 03:54:02PM)] Core 2 | PID 2639 | PRINT: "Loop iteration 3 (outer 3)""
(06/28/2025 03:54:02PM) Core:2 "Process completed successfully"
