(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | DECLARE: var0 = 37"
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | DECLARE: var1 = 61"
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | DECLARE: var2 = 47"
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | DECLARE: var3 = 47"
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | DECLARE: var4 = 27"
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 1 (outer 3)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 2 (outer 3)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 3 (outer 3)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | DECLARE: var2 = 20"
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | ADD: 47 + 27 = 74"
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | ADD: 27 + 37 = 64"
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 1 (outer 3)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 2 (outer 3)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 3 (outer 3)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | DECLARE: var6 = 95"
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | SUBTRACT: 20 - 47 = 0"
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | SUBTRACT: 47 - 27 = 20"
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Hello from process_1381 [instruction 9]""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | DECLARE: var10 = 11"
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Hello from process_1381 [instruction 11]""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | SUBTRACT: 20 - 47 = 0"
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | SUBTRACT: 47 - 27 = 20"
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 1 (outer 3)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 2 (outer 3)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 3 (outer 3)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 1 (outer 4)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 2 (outer 4)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 3 (outer 4)""
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | DECLARE: var15 = 80"
(06/28/2025 03:49:38PM) Core:3 "[(06/28/2025 03:49:38PM)] Core 3 | PID 2380 | ADD: 61 + 20 = 81"
(06/28/2025 03:49:39PM) Core:3 "[(06/28/2025 03:49:39PM)] Core 3 | PID 2380 | SLEEP: for 431ms"
(06/28/2025 03:49:39PM) Core:3 "[(06/28/2025 03:49:39PM)] Core 3 | PID 2380 | PRINT: "Hello from process_1381 [instruction 18]""
(06/28/2025 03:49:39PM) Core:3 "[(06/28/2025 03:49:39PM)] Core 3 | PID 2380 | ADD: 27 + 37 = 64"
(06/28/2025 03:49:39PM) Core:3 "[(06/28/2025 03:49:39PM)] Core 3 | PID 2380 | SLEEP: for 400ms"
(06/28/2025 03:49:39PM) Core:3 "[(06/28/2025 03:49:39PM)] Core 3 | PID 2380 | ADD: 61 + 20 = 81"
(06/28/2025 03:49:39PM) Core:3 "[(06/28/2025 03:49:39PM)] Core 3 | PID 2380 | SUBTRACT: 20 - 47 = 0"
(06/28/2025 03:49:39PM) Core:3 "[(06/28/2025 03:49:39PM)] Core 3 | PID 2380 | SUBTRACT: 47 - 27 = 20"
(06/28/2025 03:49:39PM) Core:3 "[(06/28/2025 03:49:39PM)] Core 3 | PID 2380 | ADD: 27 + 37 = 64"
(06/28/2025 03:49:39PM) Core:3 "[(06/28/2025 03:49:39PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 1 (outer 1)""
(06/28/2025 03:49:39PM) Core:3 "[(06/28/2025 03:49:39PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 2 (outer 1)""
(06/28/2025 03:49:39PM) Core:3 "[(06/28/2025 03:49:39PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 3 (outer 1)""
(06/28/2025 03:49:39PM) Core:3 "[(06/28/2025 03:49:39PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 1 (outer 2)""
(06/28/2025 03:49:39PM) Core:3 "[(06/28/2025 03:49:39PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 2 (outer 2)""
(06/28/2025 03:49:39PM) Core:3 "[(06/28/2025 03:49:39PM)] Core 3 | PID 2380 | PRINT: "Loop iteration 3 (outer 2)""
(06/28/2025 03:49:39PM) Core:3 "[(06/28/2025 03:49:39PM)] Core 3 | PID 2380 | DECLARE: var26 = 33"
(06/28/2025 03:49:39PM) Core:3 "[(06/28/2025 03:49:39PM)] Core 3 | PID 2380 | SUBTRACT: 20 - 47 = 0"
(06/28/2025 03:49:39PM) Core:3 "Process completed successfully"
