Process name: p40
Process ID: 40
Logs:

(06/26/2025 06:57:56PM) Core:2 "DECLARE var0 = 15"
(06/26/2025 06:57:57PM) Core:2 "DECLARE var1 = 57"
(06/26/2025 06:57:57PM) Core:2 "DECLARE var2 = 73"
(06/26/2025 06:57:57PM) Core:2 "DECLARE var3 = 79"
(06/26/2025 06:57:57PM) Core:2 "DECLARE var4 = 85"
(06/26/2025 06:57:57PM) Core:2 "ADD result5 = 15 + 57"
(06/26/2025 06:57:57PM) Core:2 "ADD result6 = 57 + 73"
(06/26/2025 06:57:57PM) Core:2 "Loop iteration 1"
(06/26/2025 06:57:57PM) Core:2 "Loop iteration 2"
(06/26/2025 06:57:57PM) Core:2 "Loop iteration 3"
(06/26/2025 06:57:57PM) Core:2 "Loop iteration 1"
(06/26/2025 06:57:57PM) Core:2 "Loop iteration 2"
(06/26/2025 06:57:57PM) Core:2 "Loop iteration 3"
(06/26/2025 06:57:57PM) Core:2 "Loop iteration 1"
(06/26/2025 06:57:57PM) Core:2 "Loop iteration 2"
(06/26/2025 06:57:57PM) Core:2 "Loop iteration 3"
(06/26/2025 06:57:57PM) Core:2 "Loop iteration 1"
(06/26/2025 06:57:57PM) Core:2 "Loop iteration 2"
(06/26/2025 06:57:57PM) Core:2 "Loop iteration 3"
(06/26/2025 06:57:57PM) Core:2 "Hello from p40 [8]"
(06/26/2025 06:57:57PM) Core:2 "SUBTRACT result9 = 85 - 15"
(06/26/2025 06:57:57PM) Core:2 "Loop iteration 1"
(06/26/2025 06:57:57PM) Core:2 "Loop iteration 2"
(06/26/2025 06:57:57PM) Core:2 "Loop iteration 3"
(06/26/2025 06:57:57PM) Core:2 "Loop iteration 1"
(06/26/2025 06:57:57PM) Core:2 "Loop iteration 2"
(06/26/2025 06:57:57PM) Core:2 "Loop iteration 3"
(06/26/2025 06:57:57PM) Core:2 "Loop iteration 1"
(06/26/2025 06:57:57PM) Core:2 "Loop iteration 2"
(06/26/2025 06:57:57PM) Core:2 "Loop iteration 3"
(06/26/2025 06:57:57PM) Core:2 "Loop iteration 1"
(06/26/2025 06:57:57PM) Core:2 "Loop iteration 2"
(06/26/2025 06:57:57PM) Core:2 "Loop iteration 3"
(06/26/2025 06:57:58PM) Core:2 "SUBTRACT result11 = 57 - 73"
(06/26/2025 06:57:58PM) Core:2 "DECLARE var12 = 51"
(06/26/2025 06:57:58PM) Core:2 "ADD result13 = 79 + 85"
(06/26/2025 06:57:58PM) Core:2 "DECLARE var14 = 55"
(06/26/2025 06:57:58PM) Core:2 "ADD result15 = 15 + 57"
(06/26/2025 06:57:58PM) Core:2 "Hello from p40 [16]"
(06/26/2025 06:57:58PM) Core:2 "ADD result17 = 73 + 79"
(06/26/2025 06:57:58PM) Core:2 "Loop iteration 1"
(06/26/2025 06:57:58PM) Core:2 "Loop iteration 2"
(06/26/2025 06:57:58PM) Core:2 "Loop iteration 3"
(06/26/2025 06:57:58PM) Core:2 "Loop iteration 1"
(06/26/2025 06:57:58PM) Core:2 "Loop iteration 2"
(06/26/2025 06:57:58PM) Core:2 "Loop iteration 3"
(06/26/2025 06:57:58PM) Core:2 "Loop iteration 1"
(06/26/2025 06:57:58PM) Core:2 "Loop iteration 2"
(06/26/2025 06:57:58PM) Core:2 "Loop iteration 3"
(06/26/2025 06:57:58PM) Core:2 "Loop iteration 1"
(06/26/2025 06:57:58PM) Core:2 "Loop iteration 2"
(06/26/2025 06:57:58PM) Core:2 "Loop iteration 3"
(06/26/2025 06:57:58PM) Core:2 "ADD result19 = 85 + 15"
(06/26/2025 06:57:59PM) Core:2 "ADD result20 = 15 + 57"
(06/26/2025 06:57:59PM) Core:2 "Loop iteration 1"
(06/26/2025 06:57:59PM) Core:2 "Loop iteration 2"
(06/26/2025 06:57:59PM) Core:2 "Loop iteration 3"
(06/26/2025 06:57:59PM) Core:2 "Loop iteration 1"
(06/26/2025 06:57:59PM) Core:2 "Loop iteration 2"
(06/26/2025 06:57:59PM) Core:2 "Loop iteration 3"
(06/26/2025 06:57:59PM) Core:2 "Loop iteration 1"
(06/26/2025 06:57:59PM) Core:2 "Loop iteration 2"
(06/26/2025 06:57:59PM) Core:2 "Loop iteration 3"
(06/26/2025 06:57:59PM) Core:2 "Loop iteration 1"
(06/26/2025 06:57:59PM) Core:2 "Loop iteration 2"
(06/26/2025 06:57:59PM) Core:2 "Loop iteration 3"
(06/26/2025 06:57:59PM) Core:2 "Loop iteration 1"
(06/26/2025 06:57:59PM) Core:2 "Loop iteration 2"
(06/26/2025 06:57:59PM) Core:2 "Loop iteration 3"
(06/26/2025 06:58:00PM) Core:2 "Hello from p40 [24]"
(06/26/2025 06:58:00PM) Core:2 "DECLARE var25 = 72"
(06/26/2025 06:58:01PM) Core:2 "Hello from p40 [27]"
(06/26/2025 06:58:01PM) Core:2 "ADD result28 = 79 + 85"
(06/26/2025 06:58:01PM) Core:2 "Loop iteration 1"
(06/26/2025 06:58:01PM) Core:2 "Loop iteration 2"
(06/26/2025 06:58:01PM) Core:2 "Loop iteration 3"
(06/26/2025 06:58:01PM) Core:2 "Loop iteration 1"
(06/26/2025 06:58:01PM) Core:2 "Loop iteration 2"
